dataset,n,d,method,k_selected,knn_K,knn_overlap,trustworthiness,k_pai_scale
wine,178,13,relieff,9,50,0.8197752808988765,0.9438059742395177,2.449438202247191
wine,178,13,relieff,10,3,0.3838951310861423,0.9682189171050638,2.449438202247191
wine,178,13,relieff,10,5,0.4426966292134832,0.9662855254461336,2.449438202247191
wine,178,13,relieff,10,10,0.5691011235955057,0.9639481417458946,2.449438202247191
wine,178,13,relieff,10,20,0.7036516853932585,0.964675299942868,2.449438202247191
wine,178,13,relieff,10,30,0.7696629213483146,0.9628619885520457,2.449438202247191
wine,178,13,relieff,10,50,0.8435955056179777,0.9594694436832009,2.449438202247191
wine,178,13,relieff,11,3,0.449438202247191,0.9818471130739754,2.449438202247191
wine,178,13,relieff,11,5,0.5247191011235954,0.9793654990085922,2.449438202247191
wine,178,13,relieff,11,10,0.6589887640449439,0.9790527225583405,2.449438202247191
wine,178,13,relieff,11,20,0.7674157303370788,0.9784269662921349,2.449438202247191
wine,178,13,relieff,11,30,0.8172284644194758,0.9777429156950039,2.449438202247191
wine,178,13,relieff,11,50,0.8831460674157303,0.9774546451082489,2.449438202247191
wine,178,13,relieff,12,3,0.6254681647940075,0.9905176333051893,2.449438202247191
wine,178,13,relieff,12,5,0.6921348314606741,0.9902709847984138,2.449438202247191
wine,178,13,relieff,12,10,0.7747191011235954,0.9890613656006915,2.449438202247191
wine,178,13,relieff,12,20,0.8426966292134831,0.9892820415159017,2.449438202247191
