dataset,n,d,n_resample,seed,method,attribute_j,importance_score,pai_bound,n_pts_dgm_H0,n_pts_dgm_H1,thresh,maxdim,time_method_sec
iris,150,4,120,1,variance,2,1.02857015791081,-1.0,-1,-1,2.0,1,1.5333999999977976e-05
iris,150,4,120,1,variance,3,1.0332867204087024,-1.0,-1,-1,2.0,1,1.5333999999977976e-05
iris,150,4,120,2,pai,0,0.3741486370563507,8.724086671942894,119,28,2.0,1,0.7580761250000001
iris,150,4,120,2,pai,1,0.7688062787055969,9.668264182863147,119,28,2.0,1,0.7580761250000001
iris,150,4,120,2,pai,2,0.4077731966972351,6.593141521977964,119,28,2.0,1,0.7580761250000001
iris,150,4,120,2,pai,3,0.2695658802986145,6.3183448459344405,119,28,2.0,1,0.7580761250000001
iris,150,4,120,2,nrs,0,-0.10833333333333339,-1.0,-1,-1,2.0,1,0.002696124999999938
iris,150,4,120,2,nrs,1,-0.10833333333333339,-1.0,-1,-1,2.0,1,0.002696124999999938
iris,150,4,120,2,nrs,2,0.08333333333333326,-1.0,-1,-1,2.0,1,0.002696124999999938
iris,150,4,120,2,nrs,3,0.19166666666666665,-1.0,-1,-1,2.0,1,0.002696124999999938
iris,150,4,120,2,relieff,0,0.13880787037037032,-1.0,-1,-1,2.0,1,0.017149625000000057
iris,150,4,120,2,relieff,1,0.11458333333333334,-1.0,-1,-1,2.0,1,0.017149625000000057
iris,150,4,120,2,relieff,2,0.3610344827586207,-1.0,-1,-1,2.0,1,0.017149625000000057
iris,150,4,120,2,relieff,3,0.39470486111111147,-1.0,-1,-1,2.0,1,0.017149625000000057
iris,150,4,120,2,mutual_info,0,0.49281213764278253,-1.0,-1,-1,2.0,1,0.003339666000000019
iris,150,4,120,2,mutual_info,1,0.24465935287185991,-1.0,-1,-1,2.0,1,0.003339666000000019
iris,150,4,120,2,mutual_info,2,0.9777082510382833,-1.0,-1,-1,2.0,1,0.003339666000000019
iris,150,4,120,2,mutual_info,3,1.0130131594664131,-1.0,-1,-1,2.0,1,0.003339666000000019
iris,150,4,120,2,variance,0,1.034220485799579,-1.0,-1,-1,2.0,1,1.591699999980989e-05
iris,150,4,120,2,variance,1,0.9499439477725142,-1.0,-1,-1,2.0,1,1.591699999980989e-05
iris,150,4,120,2,variance,2,0.9887280827195757,-1.0,-1,-1,2.0,1,1.591699999980989e-05
iris,150,4,120,2,variance,3,1.0198871490409676,-1.0,-1,-1,2.0,1,1.591699999980989e-05
iris,150,4,120,3,pai,0,0.4079439043998718,8.239415190168287,119,27,2.0,1,0.736637167
iris,150,4,120,3,pai,1,0.7833875417709351,10.128657715380445,119,27,2.0,1,0.736637167
iris,150,4,120,3,pai,2,0.45718860626220703,6.70681637580517,119,27,2.0,1,0.736637167
iris,150,4,120,3,pai,3,0.2810434103012085,6.3183448459344405,119,27,2.0,1,0.736637167
iris,150,4,120,3,nrs,0,-0.06666666666666665,-1.0,-1,-1,2.0,1,0.0025532500000000624
iris,150,4,120,3,nrs,1,-0.125,-1.0,-1,-1,2.0,1,0.0025532500000000624
iris,150,4,120,3,nrs,2,0.09166666666666667,-1.0,-1,-1,2.0,1,0.0025532500000000624
iris,150,4,120,3,nrs,3,0.19166666666666665,-1.0,-1,-1,2.0,1,0.0025532500000000624
iris,150,4,120,3,relieff,0,0.16167892156862743,-1.0,-1,-1,2.0,1,0.01656600000000008
iris,150,4,120,3,relieff,1,0.0987878787878787,-1.0,-1,-1,2.0,1,0.01656600000000008
iris,150,4,120,3,relieff,2,0.37382768361581925,-1.0,-1,-1,2.0,1,0.01656600000000008
iris,150,4,120,3,relieff,3,0.4023437500000001,-1.0,-1,-1,2.0,1,0.01656600000000008
iris,150,4,120,3,mutual_info,0,0.5346116767574265,-1.0,-1,-1,2.0,1,0.003166500000000738
iris,150,4,120,3,mutual_info,1,0.2499354602804713,-1.0,-1,-1,2.0,1,0.003166500000000738
iris,150,4,120,3,mutual_info,2,1.0144587538005236,-1.0,-1,-1,2.0,1,0.003166500000000738
iris,150,4,120,3,mutual_info,3,0.9980601908583839,-1.0,-1,-1,2.0,1,0.003166500000000738
iris,150,4,120,3,variance,0,1.0128709156457474,-1.0,-1,-1,2.0,1,1.5250000000577302e-05
iris,150,4,120,3,variance,1,0.8693394315644702,-1.0,-1,-1,2.0,1,1.5250000000577302e-05
iris,150,4,120,3,variance,2,1.0158444828418463,-1.0,-1,-1,2.0,1,1.5250000000577302e-05
iris,150,4,120,3,variance,3,1.0385197247081157,-1.0,-1,-1,2.0,1,1.5250000000577302e-05
